Amostra;GC
AM4403 - 2487;101,40%
AM4403 - 2522;96,50%
AM4403 - 2528;99,80%
AM4403 - 2551;100,30%
AM4403 - 2563;99,50%
AM4403 - 2567;100,30%
AM4403 - 2585;98,40%
AM4403 - 2622;95,80%
AM4403 - 2643;99,80%
AM4403 - 2662;99,40%
AM4403 - 2719;106,30%
AM4403 - 2728;102,40%
AM4403 - 2731;97,00%
AM4403 - 2733;102,70%
AM4403 - 2734;98,70%
AM4403 - 2736;103,20%
AM4403 - 2745;101,60%
AM4403 - 2746;100,70%
AM4403 - 2759;102,00%
AM4403 - 2764;99,90%
AM4403 - 2771;96,10%
AM4403 - 2775;101,40%
AM4403 - 2786;98,70%
AM4403 - 2834;98,40%
AM4403 - 2860;97,10%
AM4403 - 2873;98,20%
AM4403 - 2893;101,50%
AM4403 - 2922;96,70%
AM4403 - 2925;98,20%
AM4403 - 2931;99,50%
